Date,BRK-B
2025-01-02,451.1000061035156
2025-01-03,453.55999755859375
2025-01-06,451.4100036621094
2025-01-07,452.9200134277344
2025-01-08,451.8399963378906
2025-01-10,442.6600036621094
2025-01-13,443.9100036621094
2025-01-14,450.0299987792969
2025-01-15,458.510009765625
2025-01-16,462.80999755859375
2025-01-17,467.95001220703125
2025-01-21,468.57000732421875
2025-01-22,460.510009765625
2025-01-23,459.8299865722656
2025-01-24,463.19000244140625
2025-01-27,474.70001220703125
2025-01-28,469.9700012207031
2025-01-29,469.260009765625
2025-01-30,472.3500061035156
2025-01-31,468.6700134277344
2025-02-03,464.6099853515625
2025-02-04,467.489990234375
2025-02-05,473.7300109863281
2025-02-06,477.2200012207031
2025-02-07,472.739990234375
2025-02-10,470.1700134277344
2025-02-11,472.6099853515625
2025-02-12,471.7300109863281
2025-02-13,480.489990234375
2025-02-14,479.5899963378906
2025-02-18,482.82000732421875
2025-02-19,483.7699890136719
2025-02-20,481.79998779296875
2025-02-21,478.739990234375
2025-02-24,498.4200134277344
2025-02-25,499.82000732421875
2025-02-26,494.1000061035156
2025-02-27,502.4100036621094
2025-02-28,513.8300170898438
2025-03-03,510.0799865722656
2025-03-04,495.8599853515625
2025-03-05,498.5
2025-03-06,497.8399963378906
2025-03-07,495.6199951171875
2025-03-10,497.1000061035156
2025-03-11,496.25
2025-03-12,495.94000244140625
2025-03-13,504.25
2025-03-14,514.5999755859375
2025-03-17,523.010009765625
2025-03-18,523.1400146484375
2025-03-19,525.27001953125
2025-03-20,528.72998046875
2025-03-21,521.9099731445312
2025-03-24,525.8499755859375
2025-03-25,528.8699951171875
2025-03-26,533.2100219726562
2025-03-27,534.52001953125
2025-03-28,526.3099975585938
2025-03-31,532.5800170898438
2025-04-01,532.989990234375
2025-04-02,537.719970703125
2025-04-03,530.1599731445312
2025-04-04,493.5400085449219
2025-04-07,490.3800048828125
2025-04-08,492.6400146484375
2025-04-09,521.4099731445312
2025-04-10,515.8099975585938
2025-04-11,524.1099853515625
2025-04-14,529.52001953125
2025-04-15,528.1699829101562
2025-04-16,516.4500122070312
2025-04-17,518.2100219726562
2025-04-21,506.9200134277344
2025-04-22,520.7899780273438
2025-04-23,526.8099975585938
2025-04-24,531.6400146484375
2025-04-25,530.9600219726562
2025-04-28,530.9400024414062
2025-04-29,534.5700073242188
2025-04-30,533.25
2025-05-01,530.22998046875
2025-05-02,539.7999877929688
2025-05-05,512.1500244140625
2025-05-06,512.3300170898438
2025-05-07,518.219970703125
2025-05-08,513.25
2025-05-09,513.739990234375
2025-05-12,514.2999877929688
2025-05-13,511.8800048828125
2025-05-14,503.3999938964844
2025-05-15,507.3299865722656
2025-05-16,514.3099975585938
2025-05-19,512.3900146484375
2025-05-20,508.739990234375
2025-05-21,507.0299987792969
2025-05-22,503.57000732421875
2025-05-23,503.4599914550781
2025-05-27,509.1600036621094
2025-05-28,503.1099853515625
2025-05-29,506.17999267578125
2025-05-30,503.9599914550781
2025-06-02,502.80999755859375
2025-06-03,497.8299865722656
2025-06-04,491.0
2025-06-05,488.739990234375
2025-06-06,493.5299987792969
2025-06-09,493.3299865722656
2025-06-10,491.1300048828125
2025-06-11,488.1400146484375
2025-06-12,490.3399963378906
2025-06-13,487.5400085449219
2025-06-16,490.2300109863281
2025-06-17,483.4800109863281
2025-06-18,485.1400146484375
2025-06-20,484.8500061035156
2025-06-23,487.7699890136719
2025-06-24,493.4800109863281
2025-06-25,486.2099914550781
2025-06-26,485.04998779296875
2025-06-27,485.67999267578125
2025-06-30,485.7699890136719
